username,followers,following,posts,profile_pic,has_posts,follower_following_ratio,posts_per_follower,label,confidence
user_29,95,94,0,0,0,1.0,0.0,1,0.690972469075304
user_30,91,91,0,0,0,0.9891304347826086,0.0,1,0.7421557982434972
user_31,7478,478,207,1,1,15.611691022964509,0.027677496991576414,1,0.9016128538605059
user_32,6858,429,135,1,1,15.948837209302326,0.019682169412450795,1,0.928661341840562
user_33,140,5807,0,0,0,0.024104683195592287,0.0,0,0.9433950300530852
user_34,123,5172,0,0,0,0.02377730523873961,0.0,0,0.9938366649043511
user_35,96,7639,0,0,0,0.012565445026178011,0.0,0,0.9639272659042755
user_36,95,90,0,0,0,1.043956043956044,0.0,1,0.7448798072334958
user_37,69,9531,21,1,1,0.007238774653797734,0.3,1,0.7881931685935224
user_38,97,97,0,0,0,0.9897959183673469,0.0,1,0.6555885598002533
user_39,102,108,0,0,0,0.9357798165137615,0.0,1,0.66886247635898
user_40,6999,457,405,1,1,15.281659388646288,0.05785714285714286,1,0.9603541212757508
user_41,59,9059,0,0,0,0.006512141280353201,0.0,0,0.9082979937571893
user_42,8060,317,465,1,1,25.345911949685533,0.057685150725716415,1,0.9356444128922327
user_43,147,9947,50,1,1,0.014776839565741858,0.33783783783783783,1,0.8062387001717608
user_44,129,5411,30,1,1,0.02383592017738359,0.23076923076923078,1,0.8144437422388727
user_45,103,102,0,0,0,1.0,0.0,1,0.6527100175411554
user_46,161,6812,34,1,1,0.02363129311610157,0.20987654320987653,1,0.841995280297124
user_47,58,5165,0,0,0,0.011227255129694155,0.0,0,0.981920705343188
user_48,30,5171,34,1,1,0.00580046403712297,1.096774193548387,1,0.7945178996402535
user_49,108,93,0,0,0,1.148936170212766,0.0,1,0.6542457612134144
user_50,102,5843,20,1,1,0.017453798767967144,0.1941747572815534,1,0.8482941200259436
user_51,102,97,0,0,0,1.0408163265306123,0.0,1,0.6547321629702753
user_52,92,100,0,0,0,0.9108910891089109,0.0,1,0.7204095341048755
user_53,169,6822,0,0,0,0.024769163124725196,0.0,0,0.9322443406424662
user_54,62,8258,13,1,1,0.007506962101949389,0.20634920634920634,1,0.7860265832211636
user_55,98,108,0,0,0,0.8990825688073395,0.0,1,0.6828972609544474
user_56,109,95,0,0,0,1.1354166666666667,0.0,1,0.7094245244403035
user_57,7727,336,186,1,1,22.928783382789316,0.02406832298136646,1,0.9168879350367908
user_58,9209,112,368,1,1,81.49557522123894,0.03995656894679696,1,0.9560398070681271
user_59,102,96,0,0,0,1.0515463917525774,0.0,1,0.7452706535971422
user_60,15,7698,0,0,0,0.0019483049746720352,0.0,0,0.9769428267246811
user_61,11,8119,0,0,0,0.001354679802955665,0.0,0,0.9077418983703534
user_62,100,90,0,0,0,1.098901098901099,0.0,1,0.7118565901196902
user_63,137,7049,66,1,1,0.019432624113475176,0.4782608695652174,1,0.813181849920369
user_64,105,6876,0,0,0,0.015268285589646649,0.0,0,0.9395472855159699
user_65,6490,193,242,1,1,33.45360824742268,0.03728239100292713,1,0.9482515749013498
user_66,55,5348,98,1,1,0.010282295756216114,1.75,1,0.8412617504057567
user_67,5,9025,82,1,1,0.0005539552404165743,13.666666666666666,1,0.81362924585963
user_68,185,5310,66,1,1,0.034833364714742986,0.3548387096774194,1,0.8018569154799106
user_69,92,98,0,0,0,0.9292929292929293,0.0,1,0.677972310516119
user_70,8542,242,490,1,1,35.1522633744856,0.05735690038628117,1,0.9966798383804083
user_71,7501,372,480,1,1,20.109919571045577,0.06398293788323114,1,0.9173418814743681
user_72,23,9798,0,0,0,0.002347178283498316,0.0,0,0.945636161313024
user_73,190,8799,0,0,0,0.02159090909090909,0.0,0,0.9395041222111885
user_74,150,8090,73,1,1,0.01853911753800519,0.48344370860927155,1,0.7912063129868226
user_75,5,8112,0,0,0,0.000616294835449279,0.0,0,0.9028463016654235
user_76,33,5598,0,0,0,0.005893909626719057,0.0,0,0.952915161419184
user_77,9802,284,327,1,1,34.39298245614035,0.03335713557074365,1,0.9568921152540166
user_78,96,109,0,0,0,0.8727272727272727,0.0,1,0.7347609337519847
user_79,148,7220,0,0,0,0.020495776208281403,0.0,0,0.9330511542843479
user_80,108,107,0,0,0,1.0,0.0,1,0.6571188636202244
user_81,9921,492,337,1,1,20.123732251521297,0.03396492642612377,1,0.9681693686952249
user_82,9,6699,0,0,0,0.0013432835820895521,0.0,0,0.973314412096762
user_83,7152,119,486,1,1,59.6,0.06794352020131414,1,0.9944225476913129
user_84,9590,129,476,1,1,73.76923076923077,0.04962986132832864,1,0.9844847767769842
user_85,95,95,0,0,0,0.9895833333333334,0.0,1,0.6641167088786236
user_86,6501,290,255,1,1,22.34020618556701,0.03921870193786527,1,0.9812583881436316
user_87,5030,209,186,1,1,23.952380952380953,0.03697078115682767,1,0.9335392426095096
user_88,103,8543,85,1,1,0.012055243445692884,0.8173076923076923,1,0.7862908951215851
user_89,165,8623,0,0,0,0.01913265306122449,0.0,0,0.9512934075062902
user_90,9535,84,309,1,1,112.17647058823529,0.03240352348993288,1,0.968580645457264
user_91,152,9827,0,0,0,0.015466015466015465,0.0,0,0.9708460941012436
user_92,19,5326,37,1,1,0.0035667354984043552,1.85,1,0.8108973766909056
user_93,156,8874,57,1,1,0.017577464788732393,0.3630573248407643,1,0.8336248125565913
user_94,131,9045,77,1,1,0.0144815388016803,0.5833333333333334,1,0.8187509838038703
user_95,5916,420,190,1,1,14.052256532066508,0.03211086699340882,1,0.9970387065764844
user_96,8437,465,277,1,1,18.105150214592275,0.032827684285375684,1,0.9571229661021474
user_97,108,107,0,0,0,1.0,0.0,1,0.7392268565461777
user_98,158,8184,40,1,1,0.019303604153940133,0.25157232704402516,1,0.8389651176936308
user_99,7513,299,57,1,1,25.043333333333333,0.007585839765770562,1,0.9799113765743919
user_100,66,6493,0,0,0,0.010163227594702803,0.0,0,0.9451684716581409
user_101,153,6189,0,0,0,0.0247172859450727,0.0,0,0.9655048192971989
user_102,8701,447,206,1,1,19.421875,0.02367271891519191,1,0.9739535534276799
user_103,97,90,0,0,0,1.065934065934066,0.0,1,0.7365976240212866
user_104,102,108,0,0,0,0.9357798165137615,0.0,1,0.6617705221965181
user_105,7346,429,445,1,1,17.08372093023256,0.06056893970328025,1,0.9683568242235868
user_106,176,7659,0,0,0,0.022976501305483028,0.0,0,0.9912646793342852
user_107,94,107,0,0,0,0.8703703703703703,0.0,1,0.7034946964620076
user_108,176,8145,69,1,1,0.0216056960471397,0.3898305084745763,1,0.8258957639627913
user_109,5069,440,134,1,1,11.494331065759637,0.02642998027613412,1,0.9481302675314939
user_110,100,107,0,0,0,0.9259259259259259,0.0,1,0.6634307023866339
user_111,99,102,0,0,0,0.9611650485436893,0.0,1,0.6914968431962724
user_112,144,5085,0,0,0,0.028313016122689737,0.0,0,0.9922155070092334
user_113,148,6600,70,1,1,0.022420845326465686,0.4697986577181208,1,0.8425082255169727
user_114,21,7305,36,1,1,0.0028743498494388175,1.6363636363636365,1,0.8021015486616986
user_115,103,5223,19,1,1,0.019716692189892804,0.18269230769230768,1,0.8329963442105376
user_116,153,5299,28,1,1,0.028867924528301888,0.18181818181818182,1,0.7825940830301508
user_117,5963,184,107,1,1,32.23243243243243,0.017940979208584843,1,0.9602790265732589
user_118,6089,268,82,1,1,22.635687732342006,0.013464696223316914,1,0.9275593605945135
user_119,66,8672,0,0,0,0.007609823590453131,0.0,0,0.9513259703797932
user_120,7071,364,435,1,1,19.372602739726027,0.06151018099547511,1,0.9085600316244238
user_121,47,8412,31,1,1,0.00558659217877095,0.6458333333333334,1,0.8005956201360633
user_122,185,5769,72,1,1,0.032062391681109186,0.3870967741935484,1,0.8167920776648048
user_123,157,8425,46,1,1,0.01863280322810349,0.2911392405063291,1,0.8384140788618728
user_124,104,106,0,0,0,0.9719626168224299,0.0,1,0.7229596243553057
user_125,107,103,0,0,0,1.0288461538461537,0.0,1,0.6889475088436271
user_126,5237,239,482,1,1,21.820833333333333,0.09201985490645284,1,0.9049170410681543
user_127,9981,250,230,1,1,39.764940239043824,0.02304147465437788,1,0.9441105453094212
user_128,8045,401,177,1,1,20.012437810945272,0.021998508575689784,1,0.9731471121636242
user_129,107,109,0,0,0,0.9727272727272728,0.0,1,0.7169674614983601
user_130,9675,365,485,1,1,26.434426229508198,0.050124018189334436,1,0.9119999950519531
user_131,90,8876,36,1,1,0.01013856032443393,0.3956043956043956,1,0.805601497522679
user_132,175,5203,0,0,0,0.033627978478093776,0.0,0,0.9050667075109031
user_133,8009,160,246,1,1,49.745341614906835,0.030711610486891385,1,0.9446952491223581
user_134,186,8900,38,1,1,0.020896528479946073,0.20320855614973263,1,0.7807840460380584
user_135,119,8163,37,1,1,0.014576188143067124,0.30833333333333335,1,0.7984569192356914
user_136,23,5543,0,0,0,0.004148629148629149,0.0,0,0.9043481273600088
user_137,124,7124,0,0,0,0.017403508771929824,0.0,0,0.9121869855870439
user_138,7859,228,181,1,1,34.31877729257642,0.023027989821882953,1,0.9660795398943517
user_139,127,5937,33,1,1,0.021387672617042774,0.2578125,1,0.8210912412148658
user_140,5,8785,0,0,0,0.0005690871841566128,0.0,0,0.952787611353241
user_141,72,5671,0,0,0,0.012693935119887164,0.0,0,0.9047768627630137
user_142,6521,442,252,1,1,14.720090293453724,0.03863845446182153,1,0.9604007879967669
user_143,9555,259,88,1,1,36.75,0.009208874005860193,1,0.9846905814422743
user_144,1,5437,81,1,1,0.00018389113644722325,40.5,1,0.8170440386015481
user_145,9,7377,60,1,1,0.0012198427758200055,6.0,1,0.828994929390582
user_146,8936,388,283,1,1,22.97172236503856,0.0316661071948081,1,0.9419040449917229
user_147,105,92,0,0,0,1.1290322580645162,0.0,1,0.658469222011525
user_148,169,7408,14,1,1,0.02281009582939668,0.08235294117647059,1,0.8245456355209935
user_149,7089,435,486,1,1,16.259174311926607,0.06854724964739069,1,0.9530800246748901
user_150,137,6396,71,1,1,0.02141628888541504,0.5144927536231884,1,0.8343780939628954
user_151,91,93,0,0,0,0.9680851063829787,0.0,1,0.698874514018036
user_152,90,6598,95,1,1,0.013638430065161388,1.043956043956044,1,0.8436084901541973
user_153,101,103,0,0,0,0.9711538461538461,0.0,1,0.656082121226782
user_154,32,9602,0,0,0,0.0033322919920858065,0.0,0,0.9075399431164958
user_155,6806,457,291,1,1,14.860262008733624,0.04275011018069634,1,0.9760550011540244
user_156,94,98,0,0,0,0.9494949494949495,0.0,1,0.6965490870915152
user_157,93,97,0,0,0,0.9489795918367347,0.0,1,0.69609984174877
user_158,105,102,0,0,0,1.0194174757281553,0.0,1,0.7040044976444607
user_159,102,103,0,0,0,0.9807692307692307,0.0,1,0.6991051154421929
user_160,154,9826,16,1,1,0.015671110206573725,0.1032258064516129,1,0.8254643009068529
user_161,8064,366,229,1,1,21.97275204359673,0.028394296342219467,1,0.9663261777066998
user_162,9527,363,375,1,1,26.173076923076923,0.03935768261964735,1,0.96804317514609
user_163,7469,314,397,1,1,23.711111111111112,0.05314591700133869,1,0.9875730818275957
user_164,182,9752,0,0,0,0.018660924843637856,0.0,0,0.9606178170829962
user_165,106,105,0,0,0,1.0,0.0,1,0.6639361344834404
user_166,164,9539,20,1,1,0.017190775681341718,0.12121212121212122,1,0.8170557678573561
user_167,70,5139,26,1,1,0.013618677042801557,0.36619718309859156,1,0.844066075001666
user_168,8216,191,422,1,1,42.791666666666664,0.051356942923207985,1,0.9031043321574346
user_169,182,6457,54,1,1,0.028182099721275937,0.29508196721311475,1,0.7868780141135695
user_170,98,5354,32,1,1,0.018300653594771243,0.32323232323232326,1,0.8463907052543901
user_171,168,8144,92,1,1,0.020626151012891343,0.5443786982248521,1,0.7947236764048193
user_172,92,5060,0,0,0,0.018178225647105316,0.0,0,0.9196421259208456
user_173,90,7558,48,1,1,0.01190633681703929,0.5274725274725275,1,0.8242358801578079
user_174,101,8848,30,1,1,0.011413719064301052,0.29411764705882354,1,0.7925624537520011
user_175,60,9110,72,1,1,0.006585446163977609,1.180327868852459,1,0.8498312288732467
user_176,158,5036,47,1,1,0.03136787770498312,0.29559748427672955,1,0.7860219368516297
user_177,9159,98,123,1,1,92.51515151515152,0.013427947598253276,1,0.9058618735837838
user_178,102,107,0,0,0,0.9444444444444444,0.0,1,0.6609681681739401
user_179,160,6731,18,1,1,0.023767082590612002,0.11180124223602485,1,0.783380687608944
user_180,144,7695,0,0,0,0.018711018711018712,0.0,0,0.9333866033252887
user_181,8456,486,472,1,1,17.363449691991786,0.05581175357691853,1,0.9367952501807325
user_182,102,7269,0,0,0,0.014030261348005502,0.0,0,0.9874414873681072
user_183,5135,69,174,1,1,73.35714285714286,0.03387850467289719,1,0.9216381741678565
user_184,104,96,0,0,0,1.0721649484536082,0.0,1,0.6916544303881678
user_185,90,102,0,0,0,0.8737864077669902,0.0,1,0.6932020585245801
user_186,160,9578,78,1,1,0.016703204927445453,0.484472049689441,1,0.7921447636812813
user_187,82,7417,0,0,0,0.011054192504718252,0.0,0,0.9139244435264594
user_188,97,99,0,0,0,0.97,0.0,1,0.7289707030851753
user_189,23,8340,94,1,1,0.0027574631339167964,3.9166666666666665,1,0.849559491911225
user_190,199,8737,40,1,1,0.02277409018081941,0.2,1,0.7987362991139192
user_191,93,100,0,0,0,0.9207920792079208,0.0,1,0.7063310403241749
user_192,96,106,0,0,0,0.897196261682243,0.0,1,0.716794217029077
user_193,150,6105,0,0,0,0.024566000655093352,0.0,0,0.910783894994778
user_194,106,101,0,0,0,1.0392156862745099,0.0,1,0.6973992309481828
user_195,128,8491,53,1,1,0.015073009891662742,0.4108527131782946,1,0.8408535819747107
user_196,27,9771,36,1,1,0.002762996316004912,1.2857142857142858,1,0.789291089745603
user_197,105,103,0,0,0,1.0096153846153846,0.0,1,0.6683570343449172
user_198,96,101,0,0,0,0.9411764705882353,0.0,1,0.6800677133436936
user_199,86,7196,0,0,0,0.011949423370848965,0.0,0,0.9902718978719226
user_200,92,109,0,0,0,0.8363636363636363,0.0,1,0.6852999989299493
user_201,108,6174,94,1,1,0.01748987854251012,0.8623853211009175,1,0.8096340550067644
user_202,6527,433,432,1,1,15.039170506912443,0.0661764705882353,1,0.9451820436133777
user_203,5327,51,385,1,1,102.4423076923077,0.07225975975975976,1,0.9698487786766019
user_204,95,100,0,0,0,0.9405940594059405,0.0,1,0.663474815733478
user_205,163,8469,99,1,1,0.0192443919716647,0.6036585365853658,1,0.8022604583366457
user_206,9990,55,426,1,1,178.39285714285714,0.04263837453708338,1,0.958074354444598
user_207,9,5639,77,1,1,0.0015957446808510637,7.7,1,0.8369394063088023
user_208,173,8851,96,1,1,0.019543605964753727,0.5517241379310345,1,0.8163834813242493
user_209,183,7133,41,1,1,0.025651808242220353,0.22282608695652173,1,0.7892946022735535
user_210,104,99,0,0,0,1.04,0.0,1,0.7320064639268583
user_211,6853,237,384,1,1,28.794117647058822,0.05602567843594981,1,0.9706013138010787
user_212,7818,427,359,1,1,18.266355140186917,0.045913799718634095,1,0.997836240330116
user_213,5918,139,380,1,1,42.27142857142857,0.06420003378949146,1,0.9305620529690686
user_214,51,6979,0,0,0,0.007306590257879656,0.0,0,0.9844881779193541
user_215,8856,470,181,1,1,18.802547770700638,0.020435813480862593,1,0.9876283770704373
user_216,9,8350,0,0,0,0.0010777152436833913,0.0,0,0.9740812591541432
user_217,69,6766,36,1,1,0.010196542042263928,0.5142857142857142,1,0.8169390075699479
user_218,184,9648,0,0,0,0.01906933360970049,0.0,0,0.9627092517896818
user_219,9191,119,374,1,1,76.59166666666667,0.040687554395126196,1,0.9603667608016901
user_220,109,9272,0,0,0,0.011754556238542003,0.0,0,0.9450061214725263
user_221,113,8940,0,0,0,0.012638407336986915,0.0,0,0.9493181524022964
user_222,96,96,0,0,0,0.9896907216494846,0.0,1,0.6914763420960637
user_223,55,9873,68,1,1,0.005570184322463034,1.2142857142857142,1,0.8236085355566838
user_224,106,5675,92,1,1,0.018675123326286118,0.8598130841121495,1,0.7989679546330362
user_225,134,9840,44,1,1,0.013616502387968703,0.32592592592592595,1,0.8173705530011482
user_226,6718,51,156,1,1,129.19230769230768,0.023217740735228455,1,0.989484128449045
user_227,90,90,0,0,0,0.989010989010989,0.0,1,0.6974939838297319
user_228,96,5801,38,1,1,0.016546018614270942,0.3917525773195876,1,0.8465067814807633
user_229,5864,405,396,1,1,14.443349753694582,0.06751918158567775,1,0.9148352789217437
user_230,93,96,0,0,0,0.9587628865979382,0.0,1,0.7109423015840985
user_231,160,5106,0,0,0,0.03132954767965537,0.0,0,0.9741840015341682
user_232,91,6159,27,1,1,0.014772727272727272,0.29347826086956524,1,0.8320514207599023
user_233,9601,433,474,1,1,22.122119815668203,0.04936471568423245,1,0.9463248949219166
user_234,185,7249,35,1,1,0.025517241379310347,0.1881720430107527,1,0.847313808467118
user_235,96,102,0,0,0,0.9320388349514563,0.0,1,0.7046923606035398
user_236,91,105,0,0,0,0.8584905660377359,0.0,1,0.7113546702576008
user_237,87,9461,0,0,0,0.009194673430564362,0.0,0,0.9889212173852722
user_238,106,97,0,0,0,1.0816326530612246,0.0,1,0.73959191297299
user_239,105,109,0,0,0,0.9545454545454546,0.0,1,0.715559696025982
user_240,9969,472,50,1,1,21.076109936575055,0.0050150451354062184,1,0.9624478541176552
user_241,54,8395,0,0,0,0.0064316341114816575,0.0,0,0.9086167537492057
user_242,9478,405,86,1,1,23.344827586206897,0.009072686992298766,1,0.9385685990328246
user_243,103,106,0,0,0,0.9626168224299065,0.0,1,0.7257529939047009
user_244,8662,202,282,1,1,42.669950738916256,0.032552233637308095,1,0.9369951064380527
user_245,153,5290,0,0,0,0.028917028917028915,0.0,0,0.9937272321948791
user_246,94,107,0,0,0,0.8703703703703703,0.0,1,0.6529879597184048
user_247,104,94,0,0,0,1.0947368421052632,0.0,1,0.7083188244529443
user_248,8427,448,263,1,1,18.76837416481069,0.031205505457997152,1,0.9937433911004043
user_249,55,7928,0,0,0,0.006936561987640308,0.0,0,0.9813920967056201
user_250,5225,313,190,1,1,16.64012738853503,0.03635667814772292,1,0.9841496954133993
user_251,28,8378,13,1,1,0.003341687552213868,0.4482758620689655,1,0.8057598888516693
user_252,19,6180,0,0,0,0.0030739362562692122,0.0,0,0.9717799421786456
user_253,104,109,0,0,0,0.9454545454545454,0.0,1,0.6945268054538699
user_254,107,97,0,0,0,1.0918367346938775,0.0,1,0.6725649209711725
user_255,8496,163,208,1,1,51.80487804878049,0.024479227962810404,1,0.9201184533172793
user_256,166,6157,83,1,1,0.026956804157193894,0.49700598802395207,1,0.8387553955181711
user_257,85,8938,0,0,0,0.00950889361226088,0.0,0,0.9525230687561572
user_258,101,101,0,0,0,0.9901960784313726,0.0,1,0.7407730639008696
user_259,9768,297,115,1,1,32.77852348993289,0.01177193162043198,1,0.9848484234744381
user_260,95,98,0,0,0,0.9595959595959596,0.0,1,0.7086057777345991
user_261,93,7834,0,0,0,0.01186981493299298,0.0,0,0.9364020993798077
user_262,5277,203,311,1,1,25.86764705882353,0.05892383478590375,1,0.9469469999733809
user_263,19,8418,0,0,0,0.002256800095023162,0.0,0,0.9110354048555207
user_264,194,7503,82,1,1,0.025852878464818763,0.4205128205128205,1,0.8129561827863855
user_265,8098,482,169,1,1,16.766045548654244,0.02086677367576244,1,0.9866601904176622
user_266,6,6752,67,1,1,0.000888494002665482,9.571428571428571,1,0.8289082030916939
user_267,9103,408,276,1,1,22.25672371638142,0.03031634446397188,1,0.9580824183330545
user_268,169,6656,0,0,0,0.025386810875769866,0.0,0,0.9113965654468842
user_269,109,104,0,0,0,1.0380952380952382,0.0,1,0.748920017815766
user_270,181,8683,0,0,0,0.020842929525564255,0.0,0,0.963315068916694
user_271,6303,194,234,1,1,32.323076923076925,0.03711928934010152,1,0.9741620367740567
user_272,8272,232,94,1,1,35.502145922746784,0.01136226278254563,1,0.9284517038495576
user_273,15,9420,88,1,1,0.0015921876658528818,5.5,1,0.8427212121839729
user_274,15,5870,42,1,1,0.0025549310168625446,2.625,1,0.7931691763082456
user_275,95,100,0,0,0,0.9405940594059405,0.0,1,0.7390073285231438
user_276,90,103,0,0,0,0.8653846153846154,0.0,1,0.6891198380537671
user_277,104,102,0,0,0,1.0097087378640777,0.0,1,0.6738936285696137
user_278,52,9385,58,1,1,0.00554016620498615,1.0943396226415094,1,0.837022184065231
user_279,107,107,0,0,0,0.9907407407407407,0.0,1,0.7419993599425077
user_280,8219,438,86,1,1,18.722095671981776,0.010462287104622872,1,0.9550287010671675
user_281,133,8541,0,0,0,0.015570124092718332,0.0,0,0.9898523223335924
user_282,30,6257,0,0,0,0.004793863854266539,0.0,0,0.9202932475391801
user_283,197,9134,24,1,1,0.021565407772304323,0.12121212121212122,1,0.7907583223598801
user_284,9642,449,349,1,1,21.426666666666666,0.03619205641397905,1,0.9587472721847787
user_285,84,7779,89,1,1,0.010796915167095116,1.0470588235294118,1,0.7983819846402734
user_286,133,9926,68,1,1,0.013397803968973507,0.5074626865671642,1,0.8131667638801439
user_287,146,8246,22,1,1,0.017703407299624104,0.14965986394557823,1,0.8377567950182676
user_288,65,8181,0,0,0,0.007944267905157664,0.0,0,0.9522019282333547
user_289,9317,196,180,1,1,47.29441624365482,0.019317450096587252,1,0.9625770674229408
user_290,98,7375,0,0,0,0.013286334056399132,0.0,0,0.9315077403834258
user_291,121,5953,0,0,0,0.02032247228753779,0.0,0,0.9169767000485789
user_292,7948,202,233,1,1,39.152709359605915,0.029311863127437412,1,0.9883439638256012
user_293,7018,114,120,1,1,61.02608695652174,0.017096452486109134,1,0.9980687990295647
user_294,196,8093,53,1,1,0.024215468248085,0.26903553299492383,1,0.7883982845952366
user_295,9473,73,69,1,1,128.01351351351352,0.007283090563647878,1,0.987047133876552
user_296,94,99,0,0,0,0.94,0.0,1,0.7164563875151
user_297,9773,461,114,1,1,21.153679653679653,0.011663597298956415,1,0.9341606667087826
user_298,56,8744,68,1,1,0.006403659233847913,1.1929824561403508,1,0.8188724078297157
user_299,15,6345,0,0,0,0.002363693665300977,0.0,0,0.9359993588900268
user_300,187,5222,0,0,0,0.03580317825004786,0.0,0,0.9463262555699611
user_301,112,9444,49,1,1,0.011858125992588672,0.4336283185840708,1,0.8418509511006409
user_302,93,94,0,0,0,0.9789473684210527,0.0,1,0.6835070809546633
user_303,86,9826,0,0,0,0.008751399206268443,0.0,0,0.9444360108529924
user_304,5851,142,416,1,1,40.91608391608391,0.0710868079289132,1,0.9949118222732571
user_305,53,9800,0,0,0,0.005407611468217529,0.0,0,0.9960611428924108
user_306,91,103,0,0,0,0.875,0.0,1,0.7294071354357711
user_307,16,8311,93,1,1,0.0019249278152069298,5.470588235294118,1,0.8325986402223892
user_308,47,9787,94,1,1,0.004801798120147119,1.9583333333333333,1,0.8460846329259717
user_309,107,98,0,0,0,1.0808080808080809,0.0,1,0.6716382160480409
user_310,2,7078,41,1,1,0.00028252578047746857,13.666666666666666,1,0.8308865217923497
user_311,92,95,0,0,0,0.9583333333333334,0.0,1,0.7497881524443447
user_312,7314,414,473,1,1,17.62409638554217,0.06466165413533835,1,0.9010113538225555
user_313,99,106,0,0,0,0.9252336448598131,0.0,1,0.6949533896453304
user_314,43,6988,0,0,0,0.006152525397052511,0.0,0,0.9952742501521228
user_315,94,102,0,0,0,0.912621359223301,0.0,1,0.7265355005083023
user_316,126,8737,0,0,0,0.01441977569237812,0.0,0,0.926759560518686
user_317,35,7942,78,1,1,0.004406395568425028,2.1666666666666665,1,0.8012802054953788
user_318,105,100,0,0,0,1.0396039603960396,0.0,1,0.7136592995930294
user_319,79,7479,47,1,1,0.010561497326203208,0.5875,1,0.7928003356351558
user_320,197,5390,0,0,0,0.03654238545724355,0.0,0,0.9566532515633845
user_321,80,7978,75,1,1,0.010026319087604964,0.9259259259259259,1,0.7820228447310155
user_322,91,97,0,0,0,0.9285714285714286,0.0,1,0.6731390116305713
user_323,90,93,0,0,0,0.9574468085106383,0.0,1,0.6692810793795665
user_324,131,8599,0,0,0,0.015232558139534884,0.0,0,0.9552566415069402
user_325,6066,309,214,1,1,19.56774193548387,0.035272787209493985,1,0.9655234940550339
user_326,20,8281,0,0,0,0.002414875633904854,0.0,0,0.9449601259743152
user_327,9250,140,397,1,1,65.60283687943263,0.04291427953734731,1,0.9359602085737831
user_328,9615,376,417,1,1,25.50397877984085,0.04336522462562396,1,0.937498620476415
user_329,184,6459,52,1,1,0.02848297213622291,0.2810810810810811,1,0.79140368786589
user_330,99,109,0,0,0,0.9,0.0,1,0.7336495258289414
user_331,193,6985,0,0,0,0.027626681935299168,0.0,0,0.9064745923297879
user_332,198,5155,40,1,1,0.03840186190845617,0.20100502512562815,1,0.7800425453377169
user_333,105,107,0,0,0,0.9722222222222222,0.0,1,0.7363473402421027
user_334,103,5229,26,1,1,0.019694072657743786,0.25,1,0.7842198150839159
user_335,199,7152,21,1,1,0.02782049489724591,0.105,1,0.8295693825489135
user_336,46,5753,0,0,0,0.007994438651372959,0.0,0,0.9586616294157604
user_337,82,8821,94,1,1,0.00929494445703922,1.1325301204819278,1,0.8285209467746867
user_338,95,8340,0,0,0,0.011389521640091117,0.0,0,0.9936433499678416
user_339,5420,217,56,1,1,24.862385321100916,0.010330197380557092,1,0.9948024982015511
user_340,106,102,0,0,0,1.029126213592233,0.0,1,0.7142016900872195
user_341,108,95,0,0,0,1.125,0.0,1,0.7010594031597956
user_342,9228,243,350,1,1,37.81967213114754,0.037923935420955686,1,0.9776029879215867
